Movie Name,Release Year,Rank,Director Name,Genres
...Is It the Design on the Wrapper?,1997,2.4,Tessa Sheridan,Short
...Ja teeb trikke,1978,7.8,Priit Pärn,"Animation, Comedy, Short"
...Lost,2000,6.0,Dan (I) Castle,Short
...Maybe This Time,1980,5.7,Chris McGill,Drama
...Or Forever Hold Your Peace,2000,6.9,Kenneth August,"Comedy, Drama"
...Po prozvishchu 'Zver',1990,4.4,Aleksandr (I) Muratov,Action
...Quando Troveja,1999,4.7,Manuel Mozos,"Drama, Mystery"
"...Y al tercer ao, resucit",1981,4.6,Rafael Gil,Comedy
...a pty jezdec je Strach,1964,6.1,Zbynek Brynych,Drama
...a tutte le auto della polizia,1975,6.8,Mario Caiano,"Horror, Thriller"
...a zase ta Lucie!,1984,6.3,Jindrich Polák,"Comedy, Family"
"...borgnes sont rois, Les",1974,8.0,Edmond Séchan,Short
"...borgnes sont rois, Les",1974,8.0,Michel Leroy,Short
...continuavano a chiamarlo Trinit,1972,6.7,Enzo Barboni,"Comedy, Western"
...e per tetto un cielo di stelle,1968,3.5,Giulio Petroni,Western
...ing,2003,7.3,Eon-hie Lee,Romance
...reitet fr Deutschland,1941,3.6,Arthur Maria Rabenalt,Drama
...som havets nakna vind,1968,5.1,Gunnar Höglund,"Drama, Romance"
...som havets nakna vind,1968,5.1,Ulf Palme,"Drama, Romance"
...tick...tick...tick...,1970,5.9,Ralph (I) Nelson,"Action, Drama"
...und ber uns der Himmel,1947,5.3,Josef von Báky,Drama
...und das ist erst der Anfang,2000,5.9,Pierre Franckh,"Comedy, Romance"
...und sowas mu um 8 ins Bett,1965,3.8,Werner Jacobs,"Comedy, Musical"
...wie einst Lili Marleen,1956,7.9,Paul (II) Verhoeven,"Drama, Music, Romance"
...ya no puede caminar.,2001,7.3,Luis Berdejo,"Horror, Short"
.com for Murder,2002,3.6,Nico Mastorakis,Thriller
00 Schneider - Jagd auf Nihil Baxter,1994,5.6,Christoph Schlingensief,Comedy
00 Schneider - Jagd auf Nihil Baxter,1994,5.6,Helge Schneider,Comedy
007 1/2 no Carnaval,1966,2.8,Victor Lima,"Comedy, Musical"
06,1994,6.2,Theo van Gogh,"Drama, Romance"
08/15,1954,5.4,Paul (I) May,"Drama, War"
08/15 - In der Heimat,1955,5.0,Paul (I) May,"Drama, War"
08/15 - Zweiter Teil,1955,4.5,Paul (I) May,"Drama, War"
091 Polica al habla,1960,5.2,José María Forqué,"Crime, Drama"
1 Giant Leap,2002,6.4,Duncan Bridgeman,Documentary
1 Giant Leap,2002,6.4,Jamie Catto,Documentary
"1,99 - Um Supermercado Que Vende Palavras",2003,4.9,Marcelo Masagão,"Comedy, Documentary"
1-2-3 Go!,1941,2.3,Edward L. Cahn,"Comedy, Family, Mystery, Short"
1-2-3-4 ou Les Collants noirs,1960,7.3,Terence Young,"Drama, Musical"
1-900,1996,2.0,M. David Lee III,Thriller
1. April 2000,1952,6.8,Wolfgang Liebeneiner,Sci-Fi
1/2 Mensch,1986,7.4,Sogo Ishii,"Documentary, Music"
10,1979,5.7,Blake Edwards,"Comedy, Romance"
10 Rillington Place,1971,7.1,Richard Fleischer,"Crime, Drama, Thriller"
10 Seconds,1998,7.3,Christophe Joly,"Short, Thriller"
10 Things I Hate About You,1999,6.7,Gil Junger,"Comedy, Romance"
10 Violent Women,1982,4.1,Ted V. Mikels,"Action, Drama"
10 from Your Show of Shows,1973,8.8,Max Liebman,Comedy
10 minuta,2002,8.0,Ahmed Imamovic,Short
10 on Ten,2004,5.8,Abbas Kiarostami,Documentary
10 to Midnight,1983,5.4,J. Lee Thompson,"Action, Thriller"
100 Days,1991,5.9,Partho Ghosh,"Horror, Romance, Thriller"
100 Days,2001,6.4,Nick (I) Hughes,Drama
100 Girls,2000,5.8,Michael (II) Davis,Comedy
100 Mile Rule,2002,5.6,Brent Huff,Comedy
100 Pro,2001,5.2,Simon Verhoeven,Comedy
100 Proof,1997,3.3,Jeremy Horton,Drama
100 Rifles,1969,5.6,Tom Gries,Western
100 aos de perdn,1998,6.3,Alejandro Saderman,Comedy
100 minuta slave,2004,6.8,Dalibor Matanic,Drama
100% Arabica,1997,2.4,Mahmoud Zemmouri,Comedy
100% Service,1931,7.8,Ray Cozine,"Comedy, Short"
1000 Boomerangs,1994,5.2,Mariano Galperin,"Drama, Musical"
1000 Convicts and a Woman,1971,6.9,Ray (I) Austin,Drama
1000 Rosen,1994,5.5,Theu Boermans,Drama
1000 Shapes of a Female,1963,2.2,Barry Mahon,Comedy
"10000th Day, The",1997,8.0,Christopher (VIII) Smith,Short
1001 Arabian Nights,1959,5.7,Jack Kinney,"Animation, Fantasy"
1001 Nights,1998,9.0,Mike (XXVIII) Smith,Short
101,1989,7.6,Chris Hegedus,"Documentary, Music"
101,1989,7.6,D.A. Pennebaker,"Documentary, Music"
101,1989,7.6,David Dawkins,"Documentary, Music"
101 Dalmatians,1996,5.6,Stephen Herek,"Adventure, Comedy, Family"
101 Rent Boys,2000,6.1,Fenton Bailey,Documentary
101 Rent Boys,2000,6.1,Randy Barbato,Documentary
101 Reykjavk,2000,6.9,Baltasar Kormákur,Comedy
101-vy kilometer,2001,5.8,Leonid Maryagin,Drama
"101st Proposition, The",1994,5.2,Oh Suk-Keun,"Comedy, Romance"
102 Dalmatians,2000,4.7,Kevin Lima,"Comedy, Family"
10:10,2000,6.1,Daniel Alfredson,Short
10:30 P.M. Summer,1966,5.8,Jules Dassin,Drama
10e chambre - Instants d'audience,2004,7.1,Raymond Depardon,Documentary
11 Harrowhouse,1974,5.9,Aram Avakian,"Comedy, Crime"
"11 commandements, Les",2004,5.0,François Desagnat,Comedy
"11 commandements, Les",2004,5.0,Thomas Sorriaux,Comedy
11 de septiembre de 1973. El ltimo combate de Salvador Allende,1998,7.3,Patricio Henríquez,Documentary
11'09''01 - September 11,2002,6.9,Alejandro González Iñárritu,Drama
11'09''01 - September 11,2002,6.9,Amos Gitai,Drama
11'09''01 - September 11,2002,6.9,Claude Lelouch,Drama
11'09''01 - September 11,2002,6.9,Danis Tanovic,Drama
11'09''01 - September 11,2002,6.9,Idrissa Ouedraogo,Drama
11'09''01 - September 11,2002,6.9,Ken Loach,Drama
11'09''01 - September 11,2002,6.9,Mira Nair,Drama
11'09''01 - September 11,2002,6.9,Samira Makhmalbaf,Drama
11'09''01 - September 11,2002,6.9,Sean Penn,Drama
11'09''01 - September 11,2002,6.9,Shohei Imamura,Drama
11'09''01 - September 11,2002,6.9,Youssef Chahine,Drama
119,1994,4.9,Naoto Takenaka,Drama
11:11,2004,4.7,Michael Bafaro,Thriller
11:14,2003,7.2,Greg Marcks,"Comedy, Crime, Drama, Thriller"
12 (2003/I),2003,6.0,Lawrence Bridges,Comedy
12 (2003/II),2003,9.8,Lloyd A. Silverman,Drama
12 Angry Men,1957,8.7,Sidney Lumet,"Crime, Drama"
12 Bucks,1998,5.1,Wayne Isham,Drama
12 O'Clock,1958,3.5,Pramod Chakravorty,"Drama, Mystery, Thriller"
12 Stops on the Road to Nowhere,1999,8.4,Jay Lowi,"Comedy, Short"
12 horas,2001,5.5,Raúl Marchand Sánchez,"Comedy, Drama"
12 mesyatsev,1956,8.4,Ivan Ivanov-Vano,"Animation, Family"
12 stulyev,1971,9.3,Leonid Gaidai,Comedy
125 rue Montmartre,1959,5.5,Gilles Grangier,"Crime, Drama"
127 millones libres de impuestos,1980,7.0,Pedro Masó,Comedy
12:01 PM,1990,7.1,Jonathan Heap,"Sci-Fi, Short"
12:35,2002,8.2,Josh Stafford,Drama
13 (1999/I),1999,4.0,Gert Embrechts,Short
13 Dead Men,2003,2.0,Art Camacho,"Action, Adventure, Crime"
13 Erotic Ghosts,2002,3.1,Fred Olen Ray,Fantasy
13 Fighting Men,1960,4.3,Harry W. (II) Gerstad,Western
13 Frightened Girls,1963,4.8,William Castle,"Adventure, Thriller"
13 Ghosts,1960,5.6,William Castle,Horror
13 Going On 30,2004,6.3,Gary (I) Winick,"Comedy, Drama, Fantasy, Romance"
13 Moons,2002,5.8,Alexandre Rockwell,Comedy
13 Rue Madeleine,1947,6.8,Henry Hathaway,"Thriller, War"
13 Sthle,1938,7.4,E.W. Emo,Comedy
13 West Street,1962,6.6,Philip Leacock,Drama
13 jours en France,1968,6.9,Claude Lelouch,Documentary
13 jours en France,1968,6.9,François Reichenbach,Documentary
13 kaidan,2003,6.1,Masahiko Nagasawa,Thriller
13. jul,1982,6.4,Radomir Saranovic,"Drama, War"
13th Child,2002,4.2,Steven Stockage,"Horror, Mystery, Thriller"
"13th Floor, The",1988,4.1,Chris Roache,Horror
"13th Letter, The",1951,5.8,Otto Preminger,Film-Noir
"13th Man, The",1937,4.9,William Nigh,Mystery
"13th Sign, The",2000,4.1,Adam Mason,Horror
"13th Sign, The",2000,4.1,Jonty Acton,Horror
"13th Warrior, The",1999,6.1,John (I) McTiernan,"Action, Adventure, Fantasy"
"13th Warrior, The",1999,6.1,Michael Crichton,"Action, Adventure, Fantasy"
14 Carrot Rabbit,1952,7.2,Friz Freleng,"Animation, Comedy, Family, Short"
14 Million Dreams,2003,9.5,Miles Roston,"Documentary, Drama"
14 Tage lebenslnglich,1997,6.5,Roland Suso Richter,Thriller
14 numara,1985,4.1,Sinan Cetin,Drama
"14 tula, songkram prachachon",2001,6.8,Bhandit Rittakol,Drama
14/1 endlos,1998,7.0,Carsten Fiebeler,Short
1492: Conquest of Paradise,1992,5.9,Ridley Scott,"Adventure, Drama"
"14e kippetje, Het",1998,5.6,Hany Abu-Assad,"Comedy, Drama, Romance"
15,2003,6.1,Royston Tan,"Comedy, Drama"
15 Amore,1998,5.8,Maurice (II) Murphy,Drama
15 Minutes,1999,5.1,Mark F. Schwartz,"Comedy, Short"
15 Minutes,2001,6.1,John (I) Herzfeld,"Action, Crime, Drama, Thriller"
15 aot,2001,6.0,Patrick Alessandrin,Comedy
15 das,2000,8.3,Rodrigo Cortés,"Comedy, Short"
15 fvrier 1839,2001,7.6,Pierre Falardeau,Drama
15-Sai: Gakko IV,2000,6.5,Yoji Yamada,Drama
15.35: spoor 1,2003,5.2,Marcel Hensema,Drama
15.35: spoor 1,2003,5.2,Tim Oliehoek,Drama
16 Days of Glory,1985,7.8,Bud Greenspan,"Documentary, Family"
16 December,2002,7.2,Mani Shankar,"Action, Mystery, Short"
16 Fathoms Deep,1948,6.9,Irving Allen,Adventure
16060,1995,6.6,Vinicius Mainardi,Drama
17 Seconds to Sophie,1998,5.1,Bill (I) Cote,"Documentary, Short"
17 and Under,1998,4.1,Greg (II) Morgan,Drama
1732 Htten,1998,5.5,Karin Julsrud,Thriller
1776,1972,7.3,Peter H. Hunt,"Drama, Family, Musical"
17e parallle: Le Vietnam en guerre,1968,6.6,Joris Ivens,"Documentary, War"
"17th Man, The",2004,8.3,Yimeng Jin,"Short, Thriller"
18 Again!,1988,4.8,Paul (I) Flaherty,Comedy
18 Shades of Dust,1999,5.0,Danny Aiello III,"Crime, Drama"
18 Weapons of Kung Fu,1977,1.4,Hung Min Chen,"Action, Drama"
18 anni tra una settimana,1991,5.9,Luigi Perelli,Drama
18 ans aprs,2003,5.0,Coline Serreau,Comedy
18-j,2004,5.4,Adrián Caetano,"Documentary, Drama"
18-j,2004,5.4,Adrián Suar,"Documentary, Drama"
18-j,2004,5.4,Alberto Lecchi,"Documentary, Drama"
18-j,2004,5.4,Alejandro Doria,"Documentary, Drama"
18-j,2004,5.4,Carlos Sorin,"Documentary, Drama"
18-j,2004,5.4,Daniel Burman,"Documentary, Drama"
18-j,2004,5.4,Juan Bautista Stagnaro,"Documentary, Drama"
18-j,2004,5.4,Lucía Cedrón,"Documentary, Drama"
18-j,2004,5.4,Marcelo Schapces,"Documentary, Drama"
18-j,2004,5.4,Mauricio Wainrot,"Documentary, Drama"
1860,1934,6.8,Alessandro Blasetti,Drama
1871,1990,3.4,Ken McMullen,Drama
187: Documented,1997,2.5,Timothy Fong,"Documentary, Drama"
1895,1995,7.8,Janno Põldma,"Animation, Short"
1895,1995,7.8,Priit Pärn,"Animation, Short"
19,2000,6.8,Kazushi Watanabe,Drama
19 Months,2002,5.0,Randall Cole,Comedy
19 djevojaka i Mornar,1971,5.4,Milan Kosovac,War
1900,1976,7.5,Bernardo Bertolucci,Drama
1918,1985,5.8,Ken (II) Harrison,Drama
1919,1985,4.8,Hugh Brody,Drama
1919,1997,6.6,Noam Gonick,Short
1939,1989,6.0,Göran Carmback,Drama
1941,1979,5.5,Steven Spielberg,"Comedy, War"
1942: A Love Story,1993,6.4,Vidhu Vinod Chopra,"Action, Drama, Musical, Romance"
1952: Ivan i Aleksandra,1989,7.5,Ivan Nitchev,Drama
1958,1980,6.6,Oddvar Bull Tuhus,"Action, Crime, Drama"
1969,1988,5.4,Ernest Thompson,"Drama, War"
1974,2000,4.7,Paula MacDougall,"Animation, Short"
"1974, une partie de campagne",1974,7.5,Raymond Depardon,Documentary
1984,1956,6.8,Michael (I) Anderson,"Drama, Sci-Fi"
1990: I guerrieri del Bronx,1982,3.7,Enzo G. Castellari,"Action, Sci-Fi"
1991: The Year Punk Broke,1992,6.8,Dave Markey,"Documentary, Music"
1999,1998,5.2,Nick (I) Davis,Drama
1999 - Nen no natsu yasumi,1988,6.6,Shusuke Kaneko,Drama
1999 Madeleine,1999,6.8,Laurent Bouhnik,"Comedy, Romance"
1:42:08: A Man and His Car,1966,5.6,George Lucas,"Documentary, Short"
2 Birds with 1 Stallone,2003,1.8,Bret Carr,Drama
2 Days in the Valley,1996,6.4,John (I) Herzfeld,"Crime, Drama"
2 Dyuo,1997,6.5,Nobuhiro Suwa,Drama
2 Fast 2 Furious,2003,5.2,John (I) Singleton,"Action, Crime, Thriller"
2 G's & a Key,2000,4.4,Paul Wynne,Action
"2 Little, 2 Late",1999,8.4,Tony (IV) Smith,"Comedy, Drama"
"2 Mnner, 2 Frauen - 4 Probleme!?",1998,6.6,Vivian Naefe,Comedy
2 bileta na dnevnoj seans,1966,8.2,Gerbert Rappaport,Crime
2 minutter,2001,6.6,Jacob Tschernia,"Short, Thriller"
2 or 3 Things But Nothing for Sure,1997,7.2,Jane Wagner,"Documentary, Short"
2 or 3 Things But Nothing for Sure,1997,7.2,Tina Di Feliciantonio,"Documentary, Short"
2 ou 3 choses que je sais d'elle,1967,7.0,Jean-Luc Godard,Drama
2 ryk og 1 aflevering,2003,5.5,Aage Rais,"Comedy, Drama, Family"
2 secondes,1998,6.6,Manon Briand,"Comedy, Drama, Romance"
2+1,2004,9.2,Philippe Safir,"Comedy, Short"
2+5: Missione Hydra,1965,3.2,Pietro Francisci,Sci-Fi
"2,000 Women",1944,5.9,Frank Launder,War
2. juledag,2000,5.5,Carsten Myllerup,Short
20 : 30 : 40,2004,7.6,Sylvia Chang,"Comedy, Drama, Romance"
20 Dates,1998,5.4,Myles Berkowitz,"Comedy, Documentary, Romance"
20 Million Miles to Earth,1957,6.1,Nathan Juran,Sci-Fi
20 Mule Team,1940,7.2,Richard (I) Thorpe,Western
"20,000 Cheers for the Chain Gang",1933,6.3,Roy Mack,"Comedy, Musical, Short"
"20,000 Leagues Under the Sea",1916,6.1,Stuart Paton,"Action, Adventure, Sci-Fi"
"20,000 Leagues Under the Sea",1954,7.1,Richard Fleischer,"Adventure, Family, Sci-Fi"
"20,000 Years in Sing Sing",1932,6.9,Michael Curtiz,"Crime, Drama"
200 American,2003,3.9,Richard LeMay,Romance
200 Cigarettes,1999,5.4,Risa Bramon Garcia,"Comedy, Drama"
200 Motels,1971,5.0,Frank Zappa,"Comedy, Fantasy, Music"
200 Motels,1971,5.0,Tony (I) Palmer,"Comedy, Fantasy, Music"
2000 Nordestes,2000,7.9,David França Mendes,Documentary
2000 Nordestes,2000,7.9,Vicente Amorim,Documentary
2000 Years Later,1969,3.3,Bert Tenzer,Comedy
2001 Yonggary,1999,3.0,Hyung-rae Shim,"Action, Fantasy, Horror, Sci-Fi"
2001: A Space Odyssey,1968,8.3,Stanley Kubrick,"Adventure, Sci-Fi"
2001: A Space Travesty,2000,2.5,Allan A. Goldstein,"Comedy, Sci-Fi"
2002 (2001/I),2001,6.1,Wilson Yip,"Comedy, Horror, Romance, Sci-Fi"
2009 Lost Memories,2002,6.6,Si-myung Lee,"Action, Drama, Mystery, Sci-Fi"
2010,1984,6.5,Peter Hyams,"Adventure, Mystery, Sci-Fi, Thriller"
2010: The Odyssey Continues,1984,6.0,Les Mayfield,"Documentary, Short"
2019 - Dopo la caduta di New York,1983,5.3,Sergio Martino,"Action, Sci-Fi"
203 kochi,1980,6.5,Toshio (I) Masuda,"Drama, War"
2046,2004,8.5,Kar Wai Wong,"Drama, Romance, Sci-Fi"
2069 A.D.,1969,5.3,Sam Kopetzky,Sci-Fi
2084,1984,6.3,Chris Marker,"Documentary, Short"
20h17 rue Darling,2003,6.1,Bernard Emond,Drama
21,2000,6.5,Eli Frankel,"Comedy, Drama, Romance"
21 Days,1940,6.5,Basil Dean,Drama
21 Grams,2003,8.0,Alejandro González Iñárritu,Drama
21-87,1964,6.0,Arthur Lipsett,Short
2103: The Deadly Wake,1997,4.2,Philip (I) Jackson,Sci-Fi
21st Century Jet: The Building of the 777,1996,8.5,Karl Sabbagh,Documentary
22 June 1897,1979,6.1,Jayoo Patwardhan,Drama
22 June 1897,1979,6.1,Nachiket Patwardhan,Drama
23,1998,7.3,Hans-Christian Schmid,"Drama, Thriller"
23 -- Skidoo,1930,4.5,Arthur Hurley,"Comedy, Short"
23 Paces to Baker Street,1956,6.9,Henry Hathaway,"Mystery, Thriller"
23:58,1993,7.0,Pierre-William Glenn,Thriller
24,2001,9.0,Douglas G. Davis,"Action, Documentary, Drama, Thriller"
24,2001,9.0,Jan Beránek,"Action, Documentary, Drama, Thriller"
24,2002,7.2,Jong-jae Im,Drama
24 7: Twenty Four Seven,1997,6.6,Shane Meadows,"Comedy, Drama"
24 Hour Party People,2002,7.2,Michael Winterbottom,"Comedy, Drama, Music"
"24 Hour Woman, The",1999,5.6,Nancy Savoca,Comedy
24 Hours in London,2000,3.6,Alexander Finbow,Thriller
24 Hours to Midnight,1985,3.9,Leo Fong,Action
24 Nights,1999,6.9,Kieran (I) Turner,Comedy
24 chasa,2000,6.6,Aleksandr Atanesyan,"Crime, Drama"
24 heures de la vie d'une femme,2002,5.9,Laurent Bouhnik,Drama
24-Seven,1999,6.1,Sean Cooney,"Comedy, Short"
24/24,2001,7.4,Antoine Raimbault,"Sci-Fi, Short"
24/24,2001,7.4,Bertrand Eluerd,"Sci-Fi, Short"
2424,2002,4.2,Yeon-woo Lee,"Action, Comedy"
2499 antapan krong muang,1997,6.3,Nonzee Nimibutr,Action
24fps,2000,4.7,Jeremy Podeswa,Short
"24th Day, The",2004,6.6,Tony Piccirillo,Thriller
25 Kids and a Dad,2002,6.4,Huang Hong,Family
25 Watts,2001,6.8,Juan Pablo Rebella,"Comedy, Drama"
25 Watts,2001,6.8,Pablo Stoll,"Comedy, Drama"
25 Ways to Quit Smoking,1989,7.2,Bill Plympton,"Animation, Comedy, Short"
25th Hour,2002,7.8,Spike Lee,"Crime, Drama"
26 Summer Street,1996,4.6,Steve Erik Larson,Short
27 Missing Kisses,2000,6.6,Nana Dzhordzhadze,"Comedy, Drama, Family, Romance"
27A,1974,4.4,Esben Storm,Drama
"27th Day, The",1957,5.8,William Asher,Sci-Fi
28 Days,2000,6.0,Betty (I) Thomas,Drama
28 Days Later...,2002,7.3,Danny Boyle,"Horror, Sci-Fi, Thriller"
28 minuti per 3 milioni di dollari,1967,3.2,Maurizio Pradeaux,Western
29 Palms,2002,4.7,Leonardo Ricagni,"Drama, Thriller"
29th Street,1991,6.7,George Gallo,Comedy
2BPerfectlyHonest,2004,7.0,Randel Cole,"Comedy, Drama"
